Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,0.38864105774762836
75% Corpus,2,0.01,0.31,0.3846049900044807
75% Corpus,2,0.01,0.61,0.3851906264619934
75% Corpus,2,0.01,0.9099999999999999,0.38516882356861193
75% Corpus,2,0.01,symmetric,0.40029804075459474
75% Corpus,2,0.31,0.01,0.39728791335847713
75% Corpus,2,0.31,0.31,0.4058421135248681
75% Corpus,2,0.31,0.61,0.41875887707538195
75% Corpus,2,0.31,0.9099999999999999,0.4119951900206032
75% Corpus,2,0.31,symmetric,0.400600646593539
75% Corpus,2,0.61,0.01,0.39196652067867666
75% Corpus,2,0.61,0.31,0.39196652067867666
75% Corpus,2,0.61,0.61,0.3833952013726525
75% Corpus,2,0.61,0.9099999999999999,0.4167246976733292
75% Corpus,2,0.61,symmetric,0.39196652067867666
75% Corpus,2,0.9099999999999999,0.01,0.39728791335847724
75% Corpus,2,0.9099999999999999,0.31,0.38616415836466644
75% Corpus,2,0.9099999999999999,0.61,0.3833952013726525
75% Corpus,2,0.9099999999999999,0.9099999999999999,0.3833952013726525
75% Corpus,2,0.9099999999999999,symmetric,0.3833952013726525
75% Corpus,2,symmetric,0.01,0.3944176917435128
75% Corpus,2,symmetric,0.31,0.39196652067867666
75% Corpus,2,symmetric,0.61,0.3963187858237984
75% Corpus,2,symmetric,0.9099999999999999,0.42940672147180026
75% Corpus,2,symmetric,symmetric,0.39196652067867666
75% Corpus,2,asymmetric,0.01,0.4056422047630976
75% Corpus,2,asymmetric,0.31,0.419615818241474
75% Corpus,2,asymmetric,0.61,0.44222268946265253
75% Corpus,2,asymmetric,0.9099999999999999,0.42529930756546636
75% Corpus,2,asymmetric,symmetric,0.4500566586464382
75% Corpus,3,0.01,0.01,0.3637868087822591
75% Corpus,3,0.01,0.31,0.3777002660989816
75% Corpus,3,0.01,0.61,0.3917745755832338
75% Corpus,3,0.01,0.9099999999999999,0.4056611205342482
75% Corpus,3,0.01,symmetric,0.3777002660989815
75% Corpus,3,0.31,0.01,0.3648837013028086
75% Corpus,3,0.31,0.31,0.3733800326195098
75% Corpus,3,0.31,0.61,0.3969555333513058
75% Corpus,3,0.31,0.9099999999999999,0.4136196502429635
75% Corpus,3,0.31,symmetric,0.3761894836812263
75% Corpus,3,0.61,0.01,0.3781997044848147
75% Corpus,3,0.61,0.31,0.3816535752413579
75% Corpus,3,0.61,0.61,0.39955301461555065
75% Corpus,3,0.61,0.9099999999999999,0.4087278116627337
75% Corpus,3,0.61,symmetric,0.3816535752413579
75% Corpus,3,0.9099999999999999,0.01,0.3860673851009551
75% Corpus,3,0.9099999999999999,0.31,0.37839168750855245
75% Corpus,3,0.9099999999999999,0.61,0.3953856052334849
75% Corpus,3,0.9099999999999999,0.9099999999999999,0.39975295751852885
75% Corpus,3,0.9099999999999999,symmetric,0.37839168750855245
75% Corpus,3,symmetric,0.01,0.3716839661749727
75% Corpus,3,symmetric,0.31,0.3733800326195098
75% Corpus,3,symmetric,0.61,0.3911856787483768
75% Corpus,3,symmetric,0.9099999999999999,0.415191446887643
75% Corpus,3,symmetric,symmetric,0.3733800326195098
75% Corpus,3,asymmetric,0.01,0.38147816138068763
75% Corpus,3,asymmetric,0.31,0.40870950944656054
75% Corpus,3,asymmetric,0.61,0.4385170326348022
75% Corpus,3,asymmetric,0.9099999999999999,0.44244080944344866
75% Corpus,3,asymmetric,symmetric,0.4203389498218322
75% Corpus,4,0.01,0.01,0.3694177588537572
75% Corpus,4,0.01,0.31,0.3441835228501634
75% Corpus,4,0.01,0.61,0.34658420641128446
75% Corpus,4,0.01,0.9099999999999999,0.37594921883412613
75% Corpus,4,0.01,symmetric,0.3592162714840722
75% Corpus,4,0.31,0.01,0.35705133605195893
75% Corpus,4,0.31,0.31,0.35305405522055755
75% Corpus,4,0.31,0.61,0.3614835125440351
75% Corpus,4,0.31,0.9099999999999999,0.3924603069220491
75% Corpus,4,0.31,symmetric,0.38581806131868485
75% Corpus,4,0.61,0.01,0.3780910112889777
75% Corpus,4,0.61,0.31,0.33929748127913384
75% Corpus,4,0.61,0.61,0.3603293241820274
75% Corpus,4,0.61,0.9099999999999999,0.3630948293104981
75% Corpus,4,0.61,symmetric,0.3800629665884374
75% Corpus,4,0.9099999999999999,0.01,0.34866501236559777
75% Corpus,4,0.9099999999999999,0.31,0.3739461003034432
75% Corpus,4,0.9099999999999999,0.61,0.3856285077273145
75% Corpus,4,0.9099999999999999,0.9099999999999999,0.3877411078893901
75% Corpus,4,0.9099999999999999,symmetric,0.37172749980135456
75% Corpus,4,symmetric,0.01,0.3723912622548866
75% Corpus,4,symmetric,0.31,0.35921028578873593
75% Corpus,4,symmetric,0.61,0.35051709435233713
75% Corpus,4,symmetric,0.9099999999999999,0.3848827010940462
75% Corpus,4,symmetric,symmetric,0.3613290452191795
75% Corpus,4,asymmetric,0.01,0.36984221383775745
75% Corpus,4,asymmetric,0.31,0.42932612716820595
75% Corpus,4,asymmetric,0.61,0.4463594312852671
75% Corpus,4,asymmetric,0.9099999999999999,0.4880274703260717
75% Corpus,4,asymmetric,symmetric,0.41476565226826145
75% Corpus,5,0.01,0.01,0.37244304455342325
75% Corpus,5,0.01,0.31,0.38147606660215627
75% Corpus,5,0.01,0.61,0.3491657802478602
75% Corpus,5,0.01,0.9099999999999999,0.38621216107114
75% Corpus,5,0.01,symmetric,0.38033653251546884
75% Corpus,5,0.31,0.01,0.3897466550268862
75% Corpus,5,0.31,0.31,0.386533814789399
75% Corpus,5,0.31,0.61,0.39109339404506993
75% Corpus,5,0.31,0.9099999999999999,0.4327558341940083
75% Corpus,5,0.31,symmetric,0.3813474368475842
75% Corpus,5,0.61,0.01,0.36554490686720575
75% Corpus,5,0.61,0.31,0.36834047512693247
75% Corpus,5,0.61,0.61,0.3867164632054545
75% Corpus,5,0.61,0.9099999999999999,0.4144835738508106
75% Corpus,5,0.61,symmetric,0.37613209466874703
75% Corpus,5,0.9099999999999999,0.01,0.3616025993707071
75% Corpus,5,0.9099999999999999,0.31,0.3829047845366491
75% Corpus,5,0.9099999999999999,0.61,0.37450390151774937
75% Corpus,5,0.9099999999999999,0.9099999999999999,0.3706794979577645
75% Corpus,5,0.9099999999999999,symmetric,0.3719512491339102
75% Corpus,5,symmetric,0.01,0.3979574960073029
75% Corpus,5,symmetric,0.31,0.4021817409223777
75% Corpus,5,symmetric,0.61,0.39015563123173413
75% Corpus,5,symmetric,0.9099999999999999,0.4122060119292053
75% Corpus,5,symmetric,symmetric,0.388442331716415
75% Corpus,5,asymmetric,0.01,0.3647024812370658
